time,open,high,low,close,volume,value
2025-10-07 09:45:00+07:00,8.65,8.65,8.65,8.65,29000,0.0
2025-10-07 10:00:00+07:00,8.65,8.7,8.6,8.7,364200,0.0
2025-10-07 10:15:00+07:00,8.7,8.75,8.7,8.7,845900,0.0
2025-10-07 10:30:00+07:00,8.75,8.75,8.7,8.7,213300,0.0
2025-10-07 10:45:00+07:00,8.75,8.75,8.7,8.75,55700,0.0
2025-10-07 11:00:00+07:00,8.75,8.75,8.7,8.7,131300,0.0
2025-10-07 11:15:00+07:00,8.7,8.75,8.7,8.75,137800,0.0
2025-10-07 11:30:00+07:00,8.75,8.75,8.7,8.75,251100,0.0
2025-10-07 11:45:00+07:00,8.7,8.75,8.7,8.75,44400,0.0
2025-10-07 12:00:00+07:00,8.75,8.8,8.7,8.7,975900,0.0
2025-10-07 12:15:00+07:00,8.7,8.75,8.7,8.7,41100,0.0
2025-10-07 13:45:00+07:00,8.7,8.75,8.7,8.75,77200,0.0
2025-10-07 14:00:00+07:00,8.75,8.75,8.7,8.75,1256700,0.0
2025-10-07 14:15:00+07:00,8.75,8.75,8.7,8.7,760500,0.0
2025-10-07 14:30:00+07:00,8.75,8.75,8.75,8.75,104100,0.0
2025-10-07 14:45:00+07:00,8.75,8.75,8.7,8.7,165800,0.0
2025-10-07 15:00:00+07:00,8.75,8.75,8.7,8.7,22200,0.0
2025-10-07 15:15:00+07:00,8.7,8.75,8.7,8.75,32600,0.0
2025-10-07 15:30:00+07:00,8.7,8.75,8.7,8.75,237200,0.0
2025-10-07 15:45:00+07:00,8.75,8.75,8.7,8.75,42900,0.0
2025-10-07 16:00:00+07:00,8.75,8.8,8.7,8.75,2559600,0.0
2025-10-07 16:15:00+07:00,8.75,8.75,8.7,8.75,77300,0.0
2025-10-07 16:30:00+07:00,8.75,8.75,8.75,8.75,788400,0.0
2025-10-08 09:45:00+07:00,8.75,8.75,8.7,8.7,34500,0.0
2025-10-08 10:00:00+07:00,8.7,8.8,8.7,8.75,348400,0.0
2025-10-08 10:15:00+07:00,8.75,8.75,8.7,8.7,130900,0.0
2025-10-08 10:30:00+07:00,8.75,8.8,8.75,8.75,1530300,0.0
2025-10-08 10:45:00+07:00,8.75,8.85,8.75,8.8,806700,0.0
2025-10-08 11:00:00+07:00,8.8,8.85,8.75,8.8,662700,0.0
2025-10-08 11:15:00+07:00,8.8,8.8,8.75,8.75,63700,0.0
2025-10-08 11:30:00+07:00,8.75,8.8,8.75,8.75,43800,0.0
2025-10-08 11:45:00+07:00,8.75,8.8,8.75,8.8,463300,0.0
2025-10-08 12:00:00+07:00,8.8,8.85,8.75,8.75,526900,0.0
2025-10-08 12:15:00+07:00,8.75,8.8,8.75,8.75,28200,0.0
2025-10-08 13:45:00+07:00,8.8,8.8,8.75,8.75,19500,0.0
2025-10-08 14:00:00+07:00,8.75,8.8,8.75,8.75,604400,0.0
2025-10-08 14:15:00+07:00,8.75,8.75,8.7,8.7,290000,0.0
2025-10-08 14:30:00+07:00,8.7,8.75,8.7,8.7,33500,0.0
2025-10-08 14:45:00+07:00,8.7,8.75,8.7,8.75,435000,0.0
2025-10-08 15:00:00+07:00,8.75,8.75,8.75,8.75,435600,0.0
2025-10-08 15:15:00+07:00,8.75,8.85,8.75,8.8,1646700,0.0
2025-10-08 15:30:00+07:00,8.8,8.9,8.8,8.85,1926700,0.0
2025-10-08 15:45:00+07:00,8.85,8.9,8.85,8.85,420800,0.0
2025-10-08 16:00:00+07:00,8.85,8.9,8.85,8.85,107400,0.0
2025-10-08 16:15:00+07:00,8.85,8.9,8.85,8.85,180100,0.0
2025-10-08 16:30:00+07:00,8.9,8.9,8.9,8.9,603500,0.0
2025-10-09 09:45:00+07:00,8.9,8.9,8.85,8.85,38900,0.0
2025-10-09 10:00:00+07:00,8.85,8.9,8.8,8.85,709900,0.0
2025-10-09 10:15:00+07:00,8.8,8.85,8.8,8.85,22600,0.0
2025-10-09 10:30:00+07:00,8.8,8.85,8.75,8.85,2451700,0.0
2025-10-09 10:45:00+07:00,8.8,8.9,8.8,8.85,2922500,0.0
2025-10-09 11:00:00+07:00,8.85,8.9,8.85,8.85,47800,0.0
2025-10-09 11:15:00+07:00,8.85,8.9,8.85,8.85,121700,0.0
2025-10-09 11:30:00+07:00,8.85,8.85,8.8,8.8,312400,0.0
2025-10-09 11:45:00+07:00,8.8,8.85,8.8,8.8,37400,0.0
2025-10-09 12:00:00+07:00,8.8,8.85,8.8,8.8,139400,0.0
2025-10-09 12:15:00+07:00,8.8,8.8,8.75,8.75,131100,0.0
2025-10-09 13:45:00+07:00,8.8,8.8,8.8,8.8,249300,0.0
2025-10-09 14:00:00+07:00,8.75,8.8,8.75,8.75,7700,0.0
2025-10-09 14:15:00+07:00,8.75,8.8,8.75,8.75,165500,0.0
2025-10-09 14:30:00+07:00,8.75,8.8,8.75,8.75,16400,0.0
2025-10-09 14:45:00+07:00,8.75,8.8,8.75,8.75,15000,0.0
2025-10-09 15:00:00+07:00,8.75,8.8,8.75,8.75,13700,0.0
2025-10-09 15:15:00+07:00,8.75,8.8,8.75,8.8,26800,0.0
2025-10-09 15:30:00+07:00,8.75,8.8,8.75,8.8,24500,0.0
2025-10-09 15:45:00+07:00,8.8,8.8,8.75,8.8,27500,0.0
2025-10-09 16:00:00+07:00,8.75,8.75,8.7,8.7,1092000,0.0
2025-10-09 16:15:00+07:00,8.7,8.75,8.7,8.7,585800,0.0
2025-10-09 16:30:00+07:00,8.7,8.7,8.7,8.7,509000,0.0
2025-10-10 09:45:00+07:00,8.65,8.75,8.65,8.7,235600,0.0
2025-10-10 10:00:00+07:00,8.7,8.7,8.65,8.65,434700,0.0
2025-10-10 10:15:00+07:00,8.7,8.7,8.65,8.7,19800,0.0
2025-10-10 10:30:00+07:00,8.7,8.7,8.65,8.7,34300,0.0
2025-10-10 10:45:00+07:00,8.7,8.7,8.65,8.7,35300,0.0
2025-10-10 11:00:00+07:00,8.65,8.7,8.65,8.7,142200,0.0
2025-10-10 11:15:00+07:00,8.7,8.7,8.65,8.7,52800,0.0
2025-10-10 11:30:00+07:00,8.65,8.7,8.65,8.65,18800,0.0
2025-10-10 11:45:00+07:00,8.7,8.7,8.65,8.65,86500,0.0
2025-10-10 12:00:00+07:00,8.7,8.7,8.65,8.7,55400,0.0
2025-10-10 12:15:00+07:00,8.7,8.7,8.65,8.7,16300,0.0
2025-10-10 13:45:00+07:00,8.7,8.7,8.7,8.7,13200,0.0
2025-10-10 14:00:00+07:00,8.7,8.7,8.65,8.7,152200,0.0
2025-10-10 14:15:00+07:00,8.65,8.7,8.65,8.7,12400,0.0
2025-10-10 14:30:00+07:00,8.65,8.7,8.65,8.65,8400,0.0
2025-10-10 14:45:00+07:00,8.65,8.7,8.65,8.7,37800,0.0
2025-10-10 15:00:00+07:00,8.7,8.7,8.65,8.65,323500,0.0
2025-10-10 15:15:00+07:00,8.65,8.75,8.65,8.75,843900,0.0
2025-10-10 15:30:00+07:00,8.75,8.75,8.7,8.7,292900,0.0
2025-10-10 15:45:00+07:00,8.7,8.75,8.7,8.7,115700,0.0
2025-10-10 16:00:00+07:00,8.75,8.75,8.7,8.75,136500,0.0
2025-10-10 16:15:00+07:00,8.7,8.75,8.7,8.75,195300,0.0
2025-10-10 16:30:00+07:00,8.7,8.7,8.7,8.7,565700,0.0
2025-10-14 09:45:00+07:00,8.65,8.65,8.65,8.65,89300,0.0
2025-10-14 10:00:00+07:00,8.65,8.7,8.65,8.65,215500,0.0
2025-10-14 10:15:00+07:00,8.65,8.7,8.65,8.7,36100,0.0
2025-10-14 10:30:00+07:00,8.65,8.7,8.65,8.65,14900,0.0
2025-10-14 10:45:00+07:00,8.65,8.7,8.65,8.65,126700,0.0
2025-10-14 11:00:00+07:00,8.65,8.7,8.65,8.65,77900,0.0
2025-10-14 11:15:00+07:00,8.65,8.7,8.6,8.65,2139000,0.0
2025-10-14 11:30:00+07:00,8.65,8.7,8.65,8.65,86100,0.0
2025-10-14 11:45:00+07:00,8.65,8.65,8.65,8.65,7900,0.0
2025-10-14 12:00:00+07:00,8.65,8.7,8.65,8.65,12900,0.0
2025-10-14 12:15:00+07:00,8.65,8.7,8.65,8.65,14800,0.0
2025-10-14 13:45:00+07:00,8.65,8.7,8.65,8.65,25100,0.0
2025-10-14 14:00:00+07:00,8.65,8.7,8.6,8.65,1710500,0.0
2025-10-14 14:15:00+07:00,8.65,8.65,8.65,8.65,409900,0.0
2025-10-14 14:30:00+07:00,8.65,8.65,8.65,8.65,129800,0.0
2025-10-14 14:45:00+07:00,8.65,8.65,8.65,8.65,123500,0.0
2025-10-14 15:00:00+07:00,8.65,8.65,8.65,8.65,53700,0.0
2025-10-14 15:15:00+07:00,8.65,8.7,8.65,8.65,35700,0.0
2025-10-14 15:30:00+07:00,8.65,8.7,8.65,8.65,181400,0.0
2025-10-14 15:45:00+07:00,8.65,8.7,8.6,8.6,660700,0.0
2025-10-14 16:00:00+07:00,8.6,8.65,8.6,8.6,469800,0.0
2025-10-14 16:15:00+07:00,8.6,8.65,8.6,8.6,166200,0.0
2025-10-14 16:30:00+07:00,8.6,8.6,8.6,8.6,421800,0.0
2025-10-15 09:45:00+07:00,8.7,8.75,8.7,8.75,362200,0.0
2025-10-15 10:00:00+07:00,8.7,8.8,8.7,8.75,324100,0.0
2025-10-15 10:15:00+07:00,8.8,8.8,8.75,8.8,858600,0.0
2025-10-15 10:30:00+07:00,8.8,8.85,8.75,8.8,744000,0.0
2025-10-15 10:45:00+07:00,8.75,8.8,8.75,8.8,14300,0.0
2025-10-15 11:00:00+07:00,8.75,8.8,8.75,8.75,152300,0.0
2025-10-15 11:15:00+07:00,8.8,8.8,8.7,8.7,240000,0.0
2025-10-15 11:30:00+07:00,8.7,8.7,8.65,8.65,805900,0.0
2025-10-15 11:45:00+07:00,8.65,8.7,8.65,8.7,19000,0.0
2025-10-15 12:00:00+07:00,8.7,8.75,8.7,8.75,676000,0.0
2025-10-15 12:15:00+07:00,8.7,8.75,8.7,8.75,27600,0.0
2025-10-15 13:45:00+07:00,8.75,8.75,8.7,8.75,83100,0.0
2025-10-15 14:00:00+07:00,8.75,8.75,8.7,8.75,157800,0.0
2025-10-15 14:15:00+07:00,8.75,8.75,8.7,8.75,51200,0.0
