time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,8.95,9.2,8.95,9.15,2309499,0.0,2024-10-31
2024-11-01 00:00:00+07:00,9.15,9.15,9.0,9.0,600124,0.0,2024-11-01
2024-11-04 00:00:00+07:00,9.1,9.1,9.05,9.1,239090,0.0,2024-11-04
2024-11-05 00:00:00+07:00,9.1,9.2,9.05,9.1,728767,0.0,2024-11-05
2024-11-06 00:00:00+07:00,9.15,9.15,9.05,9.1,178954,0.0,2024-11-06
2024-11-07 00:00:00+07:00,9.15,9.35,9.1,9.2,1402928,0.0,2024-11-07
2024-11-08 00:00:00+07:00,9.3,9.4,9.2,9.4,1086253,0.0,2024-11-08
2024-11-11 00:00:00+07:00,9.45,9.5,9.35,9.35,990188,0.0,2024-11-11
2024-11-12 00:00:00+07:00,9.3,9.4,9.15,9.35,824690,0.0,2024-11-12
2024-11-13 00:00:00+07:00,9.25,9.35,9.25,9.3,231474,0.0,2024-11-13
2024-11-14 00:00:00+07:00,9.25,9.35,9.2,9.3,298113,0.0,2024-11-14
2024-11-15 00:00:00+07:00,9.3,9.35,9.25,9.3,277251,0.0,2024-11-15
2024-11-18 00:00:00+07:00,9.3,9.4,9.3,9.35,272651,0.0,2024-11-18
2024-11-19 00:00:00+07:00,9.4,9.4,9.3,9.35,99581,0.0,2024-11-19
2024-11-20 00:00:00+07:00,9.3,9.3,9.25,9.3,269042,0.0,2024-11-20
2024-11-21 00:00:00+07:00,9.25,9.35,9.25,9.3,117403,0.0,2024-11-21
2024-11-22 00:00:00+07:00,9.25,9.35,9.15,9.25,292377,0.0,2024-11-22
2024-11-25 00:00:00+07:00,9.25,9.3,9.2,9.2,150310,0.0,2024-11-25
2024-11-26 00:00:00+07:00,9.2,9.25,9.15,9.15,202810,0.0,2024-11-26
2024-11-27 00:00:00+07:00,9.1,9.15,9.1,9.15,345939,0.0,2024-11-27
2024-11-28 00:00:00+07:00,9.15,9.2,9.1,9.15,91369,0.0,2024-11-28
2024-11-29 00:00:00+07:00,9.15,9.25,9.15,9.2,180725,0.0,2024-11-29
2024-12-02 00:00:00+07:00,9.3,9.35,9.15,9.2,437799,0.0,2024-12-02
2024-12-03 00:00:00+07:00,9.2,9.35,9.2,9.3,228113,0.0,2024-12-03
2024-12-04 00:00:00+07:00,9.3,9.45,9.3,9.4,370840,0.0,2024-12-04
2024-12-06 00:00:00+07:00,9.4,9.4,9.3,9.35,501641,0.0,2024-12-06
2024-12-09 00:00:00+07:00,9.3,9.4,9.3,9.4,146732,0.0,2024-12-09
2024-12-11 00:00:00+07:00,9.4,9.4,9.15,9.25,216904,0.0,2024-12-11
2024-12-12 00:00:00+07:00,9.25,9.3,9.15,9.3,190681,0.0,2024-12-12
2024-12-13 00:00:00+07:00,9.3,9.3,9.15,9.15,233044,0.0,2024-12-13
2024-12-16 00:00:00+07:00,9.15,9.15,9.1,9.15,276138,0.0,2024-12-16
2024-12-17 00:00:00+07:00,9.15,9.2,9.05,9.05,462666,0.0,2024-12-17
2024-12-18 00:00:00+07:00,9.0,9.15,9.0,9.15,461208,0.0,2024-12-18
2024-12-19 00:00:00+07:00,9.1,9.15,9.05,9.15,364352,0.0,2024-12-19
2024-12-20 00:00:00+07:00,9.15,9.15,9.05,9.1,157368,0.0,2024-12-20
